store_id, store_name, phone, email, street, city, state, zip_code
54, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
55, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
56, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
57, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
58, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
59, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
60, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
61, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
62, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
63, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
64, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
65, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
66, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
67, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
68, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
69, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
70, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
71, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
72, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
73, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
74, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
75, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
76, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
77, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
78, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
79, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
80, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
81, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
82, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
83, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
84, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
85, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
86, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
87, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
88, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
89, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
90, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
91, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
92, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
93, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
94, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
95, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
96, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
97, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
98, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
99, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
100, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
